CITIES,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Agartala,36,34,34,33,24,36,19,11,8,9
Agra,68,36,21,34,35,24,24,28,27,20
Ahmedabad,37,19,20,22,28,31,31,28,19,34
Aizwal,46,95,20,16,12,12,12,9,9,3
Ajmer,24,26,27,24,24,25,22,21,22,24
Allahabad,49,32,31,28,28,34,57,49,48,22
Amritsar,40,39,40,38,47,35,34,35,30,21
Andaman and Nicobar,36,34,35,36,34,32,31,26,26,26
Asansol,54,52,55,55,43,37,35,44,32,29
Bangalore,78,30,82,23,39,35,32,30,25,24
Begusarai,21,23,24,22,21,23,21,22,22,22
Bhopal,110,30,21,24,30,21,21,27,24,24
Bhubaneswar,45,18,20,18,28,25,20,17,16,16
Bilaspur,31,22,21,22,21,19,12,12,12,13
Bokaro,12,12,12,11,11,11,11,11,11,11
Buxar,11,11,11,11,11,11,11,11,11,11
Chandigarh,35,28,21,25,25,16,21,24,15,24
Chennai,117,32,28,25,23,24,20,23,20,13
Coimbatore,105,22,27,27,28,27,23,19,19,20
Cuttack,25,17,21,28,28,34,33,22,20,18
Dadar-Nagar Haveli,25,21,21,27,32,24,22,17,15,20
Daman & diu,23,20,20,25,29,23,32,26,20,20
Darbhanga,24,25,24,22,22,19,24,24,22,22
Dehradun,23,28,30,30,29,30,28,29,27,26
Delhi,189,69,66,99,91,97,96,98,60,42
Dhanbad,29,41,37,37,38,39,37,36,36,35
Dibugarh,21,16,14,15,17,16,12,11,13,11
Durgapur,53,21,56,55,43,37,35,44,32,27
Faridabad,85,31,39,80,80,78,87,45,41,35
Gandhinagar,12,13,14,12,11,10,8,18,14,15
Gaya,21,20,22,21,21,22,20,21,15,14
Ghaziabad,44,33,40,36,29,39,34,46,36,38
Gorakhpur,43,41,41,43,47,54,59,19,31,26
Gurgaon,31,31,32,34,35,37,38,32,21,32
Guwahati,23,18,3,15,19,17,18,16,13,11
Hajipur,11,12,13,14,16,16,13,11,10,11
Haldia,62,39,38,17,43,42,40,48,38,28
Hissar,11,10,19,8,10,8,9,23,21,30
Howrah,55,45,35,43,63,70,77,42,45,33
Hydrabad,37,33,27,30,30,39,37,51,43,34
Imphal,12,11,10,13,14,15,15,21,22,26
Indore,32,19,20,20,20,21,19,18,20,35
Jabalpur,59,23,23,35,26,25,19,19,20,33
Jaipur,77,47,28,37,34,33,37,34,26,31
Jammu,25,16,14,18,17,18,19,17,19,20
Jamshedpur,57,46,45,45,45,46,46,48,37,44
Jhansi,28,21,23,21,23,20,19,19,17,18
Jodhpur,53,92,55,25,25,23,25,26,26,25
Kanpur,49,36,33,48,49,52,55,54,64,44
Kochi,35,8,9,9,38,20,26,23,7,11
Kohima,7,5,5,5,5,5,5,5,5,5
Kolkata,169,93,155,49,82,61,37,50,46,36
Korba,22,20,55,19,20,20,24,19,18,18
Kota,132,36,5,37,32,28,29,25,24,26
Kurnool,11,10,10,10,11,15,25,19,16,16
Lakshadweep,17,13,12,14,17,18,19,13,22,21
Lucknow,41,51,29,29,28,28,30,31,34,34
Madurai,27,23,37,27,27,27,22,19,18,17
Manali,36,10,13,14,11,6,13,11,7,7
Mangalore,7,7,7,7,9,9,10,10,10,26
Mathura,28,31,31,30,31,26,28,29,28,27
Meerut,48,38,57,57,62,63,73,78,66,57
Meghalaya,21,22,21,22,21,22,21,22,23,24
Mirzapur,32,32,34,37,41,32,30,45,45,40
Mumbai,19,14,22,33,32,19,25,30,26,23
Muzaffarpur,23,22,21,30,21,20,24,31,6,13
Mysore,23,23,23,23,21,19,15,15,14,19
Nagpur,116,34,33,35,33,34,37,42,26,25
Nasik,36,29,26,24,37,22,22,22,23,27
Navi Mumbai,86,46,40,45,49,48,48,48,44,35
Panaji,45,10,7,15,11,11,12,13,10,15
Panipat,14,13,15,14,13,14,13,13,14,15
Pathankot,19,13,13,36,14,12,12,11,12,11
Patiala,30,18,14,15,13,11,11,12,18,18
Patna,142,142,142,44,37,50,68,69,33,39
Puducherry,18,14,14,13,15,14,12,13,7,11
Pune,84,45,50,13,87,65,83,101,56,38
Puri,15,15,17,18,15,15,15,15,14,4
Rae Bareli,45,27,19,19,20,22,19,19,16,12
Raipur,48,41,41,28,33,28,24,26,24,22
Rajkot,21,18,19,20,21,21,24,26,18,18
Ranchi,51,36,34,36,37,37,36,37,56,36
Rishikesh,27,25,28,29,27,27,25,27,25,25
Rourkela,18,11,12,14,27,27,21,17,12,12
Sambalpur,22,14,16,17,17,20,21,24,22,25
Shimla,35,12,16,16,15,24,26,26,12,6
Silachar,20,18,14,13,13,11,11,11,11,9
Siliguri,15,14,16,17,13,18,17,33,33,35
Srinagar,32,32,32,32,32,32,32,32,24,14
Surat,44,22,19,21,24,28,36,29,27,24
Thane,15,35,58,60,63,50,50,37,30,46
Thiruvananathpuram,34,24,22,26,25,26,25,18,9,8
Tirupati,9,9,9,11,12,12,19,17,12,22
Ujjain,14,18,18,14,17,17,16,12,11,15
Vadodra,39,22,21,21,25,25,27,27,20,19
Varanasi,26,29,32,33,35,40,45,34,25,34
Vellore,34,34,31,38,46,54,43,38,50,55
Vishakhapatnam,19,25,31,25,22,23,25,22,20,35
Warangal,11,15,11,12,24,26,39,52,42,35
