CITIES,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Agartala,100,102,104,40,47,47,104,105,67,82
Agra,234,230,199,202,243,209,233,207,194,164
Ahmedabad,114,96,88,85,110,144,324,158,137,123
Aizwal,77,79,67,67,79,78,61,56,46,49
Ajmer,114,96,85,85,102,80,85,90,91,96
Allahabad,287,127,235,233,196,216,262,252,188,133
Amritsar,194,182,192,192,244,198,178,185,168,116
Andaman and Nicobar,100,102,104,101,97,97,99,101,97,104
Asansol,117,160,99,99,214,162,144,187,115,123
Bangalore,175,170,133,133,107,121,104,91,81,67
Begusarai,126,121,122,121,126,126,108,117,117,119
Bhopal,214,191,192,192,116,110,155,230,188,119
Bhubaneswar,98,101,102,102,117,95,100,108,104,94
Bilaspur,101,115,101,101,97,75,42,47,55,71
Bokaro,125,134,132,133,139,103,132,110,112,132
Buxar,133,100,131,132,100,121,132,132,123,110
Chandigarh,133,100,88,131,131,121,117,114,110,98
Chennai,86,118,102,102,53,85,77,101,58,58
Coimbatore,75,116,36,35,53,43,52,68,59,47
Cuttack,78,86,105,105,93,84,106,109,96,87
Dadar-Nagar Haveli,44,44,37,40,37,109,70,108,68,84
Daman & diu,44,44,35,102,34,105,116,99,92,84
Darbhanga,56,99,70,71,71,72,71,123,128,132
Dehradun,197,155,154,154,229,328,188,205,150,154
Delhi,268,265,187,187,318,289,250,206,225,207
Dhanbad,206,115,214,214,266,287,268,275,199,247
Dibugarh,56,98,44,44,81,58,54,36,26,39
Durgapur,108,160,102,101,215,164,146,183,110,163
Faridabad,197,204,189,189,201,204,197,200,201,213
Gandhinagar,123,132,134,123,134,156,123,110,111,123
Gaya,75,77,77,80,79,77,89,71,78,79
Ghaziabad,251,281,232,235,148,286,236,232,217,233
Gorakhpur,147,144,144,190,193,230,142,351,253,241
Gurgaon,109,120,102,110,111,99,123,109,107,105
Guwahati,106,169,136,121,120,123,109,142,107,114
Hajipur,132,145,123,110,123,143,111,123,141,148
Haldia,238,146,136,108,108,88,104,85,87,97
Hissar,159,132,132,132,131,220,140,145,156,162
Howrah,186,187,111,111,113,165,166,164,125,129
Hydrabad,128,147,105,105,127,127,117,48,103,89
Imphal,138,135,133,28,29,29,70,109,137,123
Indore,151,187,157,155,96,83,87,77,82,105
Jabalpur,75,69,73,70,82,104,105,94,84,90
Jaipur,209,201,104,104,237,250,281,160,165,124
Jammu,136,127,122,121,132,171,165,140,171,172
Jamshedpur,130,137,135,136,137,130,130,138,105,110
Jhansi,150,112,119,120,134,125,103,105,104,117
Jodhpur,229,244,252,251,183,208,276,344,200,168
Kanpur,203,207,212,212,244,242,256,228,241,199
Kochi,112,84,74,75,56,54,66,50,71,53
Kohima,99,105,112,111,119,148,119,112,95,77
Kolkata,157,247,150,155,143,163,201,115,128,107
Korba,85,82,80,88,58,63,65,58,46,61
Kota,175,113,148,141,119,113,147,160,139,114
Kurnool,74,76,77,75,69,82,73,72,69,58
Lakshadweep,74,76,67,63,70,82,78,77,60,70
Lucknow,215,202,178,175,215,328,240,209,229,174
Madurai,51,41,50,55,86,80,84,83,60,54
Manali,112,58,51,52,39,48,84,79,35,41
Mangalore,31,32,32,33,40,75,57,47,47,51
Mathura,220,221,222,155,159,161,143,153,154,170
Meerut,129,155,170,171,182,170,185,170,189,199
Meghalaya,112,58,51,52,39,48,84,79,60,41
Mirzapur,122,133,133,168,166,136,179,134,126,123
Mumbai,148,143,120,121,113,136,170,136,124,106
Muzaffarpur,122,132,132,168,166,167,139,130,138,142
Mysore,57,58,57,55,49,55,53,74,47,46
Nagpur,132,119,131,131,177,134,119,109,107,72
Nasik,97,86,74,75,95,80,91,66,38,59
Navi Mumbai,123,167,154,155,112,119,72,53,54,92
Panaji,67,46,51,54,68,105,68,87,56,73
Panipat,200,210,234,176,189,214,178,198,190,196
Pathankot,68,76,68,76,89,90,81,70,68,74
Patiala,104,108,105,132,106,102,102,102,103,110
Patna,196,234,109,196,259,196,289,187,150,150
Puducherry,50,46,45,44,43,47,47,50,38,42
Pune,108,103,96,95,103,105,113,125,125,108
Puri,63,63,71,78,99,78,91,115,71,77
Rae Bareli,203,179,166,165,156,129,148,170,115,111
Raipur,208,305,329,234,168,105,72,63,51,62
Rajkot,118,102,85,97,96,115,236,128,160,118
Ranchi,202,177,197,178,196,142,122,109,106,110
Rishikesh,109,113,122,155,119,128,133,137,112,132
Rourkela,99,100,99,99,105,136,93,142,96,125
Sambalpur,53,51,55,55,79,82,85,92,67,103
Shimla,64,49,78,78,64,59,60,59,46,58
Silachar,83,138,91,68,58,50,58,50,50,46
Siliguri,55,67,59,65,55,59,72,79,87,105
Srinagar,221,198,110,134,167,176,170,185,232,97
Surat,109,104,93,98,96,120,184,151,114,100
Thane,80,115,104,103,107,130,105,135,86,135
Thiruvananathpuram,54,58,52,45,54,51,54,43,33,57
Tirupati,37,44,44,56,59,63,69,63,49,51
Ujjain,127,120,105,103,86,70,85,95,84,113
Vadodra,141,105,94,92,90,120,196,150,88,111
Varanasi,136,148,140,178,294,303,182,210,129,133
Vellore,138,138,163,154,123,109,132,134,156,154
Vishakhapatnam,104,113,88,88,87,88,71,91,91,103
Warangal,49,36,51,58,73,72,86,88,70,60
