PM10,NO2,SO2,AQI_Bucket
122.41,85.12,163.01,Poor
116.32,79.71,91.26,Very Poor
130.07,77.61,98.35,Very Poor
138.31,75.23,88.66,Very Poor
111.73,68.9,80.9,Severe
118.65,81.84,89.57,Severe
103.88,81.24,80.74,Very Poor
103.3,76.75,86.48,Poor
135.65,89.1,105.96,Very Poor
148,93.27,131.04,Very Poor
156.97,89.18,134.22,Severe
177.87,100.08,122.43,Severe
163.36,112.68,143.3,Severe
156.63,103.05,118.55,Severe
140.66,71.51,82.75,Very Poor
153.69,91.02,138.12,Severe
136.34,85.37,145.55,Very Poor
142.06,70.71,142.52,Severe
119.91,70.35,134.76,Severe
134.2,74.31,137.83,Severe
117.51,77.12,139.31,Severe
113.84,61.74,112.15,Severe
127.56,68.94,101.14,Very Poor
124.01,122.88,31.67,Very Poor
135.9,154.42,58.6,Very Poor
120.77,146.65,127.62,Very Poor
115.46,127.02,121.46,Very Poor
107.59,135.26,100.23,Very Poor
156.33,140.5,91.23,Very Poor
77.07,120.8,58.37,Very Poor
103.12,112.66,60.94,Very Poor
96.84,116.69,48.67,Very Poor
107.15,103.69,30.37,Very Poor
104.64,115.78,42.55,Severe
72.7,130.64,25.9,Very Poor
171.87,145.75,37.85,Very Poor
125.62,155.72,33.25,Severe
103.64,147.44,25.28,Very Poor
152.67,163.54,26.31,Moderate
102.66,146.55,39.92,Very Poor
115.42,277.31,37.43,Severe
97.91,174.15,20.97,Severe
136.54,213.58,28.94,Severe
109.4,176.24,35.87,Severe
102.77,164.64,44.06,Severe
112.5,184.07,38.49,Severe
117.3,107.86,30.43,Severe
104.74,168.15,40.42,Severe
114.84,119.51,48.21,Severe
96.61,118.73,47.13,Severe
102.68,144.03,44.8,Severe
116.88,106.12,35.22,Severe
100.89,171.04,40.63,Severe
80.67,148.91,32.86,Severe
113.3,113.12,32.57,Severe
120.12,137.36,30.42,Severe
128.97,157.22,31.64,Severe
116.84,103.67,91.4,Severe
109.2,107.17,96.35,Severe
101.6,117.03,103.19,Severe
109.85,102.72,102.03,Severe
116.7,114.44,142.27,Severe
114.94,103.79,156.48,Severe
114.11,110.39,116.97,Severe
105.78,103.72,132.41,Severe
120.74,135.12,104.15,Severe
130.55,156.06,109.13,Severe
104.86,152.96,92.83,Very Poor
82.63,115.28,53.67,Very Poor
202.3,168.45,35.04,Severe
172.36,99.11,46.88,Severe
165.97,157.23,50.5,Severe
98.91,32.44,57.06,Severe
98.23,43,94.84,Severe
100.1,30.99,83.52,Severe
148.04,42.69,70.53,Severe
148,30.62,63.85,Severe
110.65,23.06,50.69,Severe
139.31,45.13,52.12,Severe
118.95,30,41.96,Severe
106.26,37.43,39.98,Severe
153.39,33.44,44.51,Severe
181.39,57.64,39.45,Severe
199.34,30.12,40.22,Severe
195.84,47.73,39.76,Severe
99.59,72.53,42.51,Severe
50.03,41.31,45.34,Severe
95.65,39.57,39.94,Severe
160.82,47.9,41.94,Severe
175.24,49.65,37.04,Severe
184.48,36.01,40.95,Severe
117.04,52.84,39.98,Severe
75.1,48.35,42.4,Severe
143.82,41.39,40.05,Severe
134.58,73.54,37.46,Severe
184.17,60.79,26.36,Severe
138.91,53.62,45.91,Severe
151.31,60.1,40.9,Severe
176.7,64.69,43.82,Severe
182.75,53.56,51.27,Severe
142.75,55.93,37.66,Very Poor
119.98,57.44,39.97,Very Poor
164.31,56.76,55.67,Severe
142.29,36.67,44.52,Severe
88.66,46.87,40.52,Severe
93.7,47.69,63.22,Severe
118.21,43.33,49.29,Severe
111.11,48.51,46.13,Severe
87.45,47.49,47.71,Severe
69.07,52.47,48.58,Severe
82.81,49.59,50.91,Severe
86.22,62.06,48.32,Severe
69.01,82.99,50.79,Severe
80.39,81.63,50.6,Severe
77.28,54.26,48.29,Severe
59.41,48.34,44.03,Severe
69.84,61.48,53.34,Very Poor
69.26,72.02,50.39,Severe
171.53,44.57,68.54,Severe
107.96,53.2,63.42,Severe
102.31,236.79,59.59,Severe
126.48,94.87,33.42,Severe
133.78,129.85,78.7,Severe
55.41,61.34,78.36,Very Poor
73.22,132.09,82.79,Very Poor
85.77,128.45,90.46,Very Poor
108.29,112.62,114.51,Very Poor
89.47,124.86,102.52,Severe
103.64,112.12,81.76,Severe
59.29,96.73,90.49,Severe
40.35,80.73,82.95,Severe
48.65,99.02,82.66,Severe
44.65,79.1,107.18,Severe
34.95,65.04,101.99,Very Poor
56.01,92.52,137.97,Poor
106.2,118.26,129.38,Severe
126.9,98.77,99.59,Severe
127.47,101.3,120.8,Severe
138.99,168.74,153.44,Severe
117.69,132.77,158.04,Severe
155.39,162.56,146.33,Severe
153.75,171.17,154.99,Severe
195.19,204.06,130.56,Severe
188.14,199.03,134.87,Severe
153.84,211.8,139,Severe
212.8,245.62,178.58,Severe
208.83,229.45,156.5,Severe
188.75,219.01,135.76,Severe
175.79,239.1,134.84,Severe
154.68,186.56,100.46,Very Poor
129.36,159.1,105.73,Poor
118.57,121.02,117.2,Poor
128.62,108.85,113.16,Poor
83.85,114.63,118.83,Poor
106.77,152.09,119.97,Poor
148.8,186.72,133.53,Very Poor
108.91,86.91,88.46,Poor
81.3,72.14,120.11,Moderate
158.06,68.64,106.2,Poor
93.24,62.2,110.11,Moderate
52.97,74.41,134.66,Very Poor
135.53,115.84,129.06,Severe
145.88,112.58,136.87,Very Poor
111.98,87.8,129.66,Poor
69.15,115.67,133.73,Very Poor
112.61,175.04,136.74,Severe
131.73,203.26,138.03,Very Poor
171.65,192.27,120.4,Severe
79.47,156.28,163.2,Very Poor
92.32,157.51,174.83,Very Poor
107.67,163.7,167.13,Very Poor
133.46,155.92,168.45,Poor
116.2,202.95,155.16,Severe
94.58,121.43,145.89,Severe
133.55,145.72,156.97,Severe
78.4,136.69,135.46,Severe
94.91,147.33,143.33,Severe
85.17,112.69,158.25,Severe
93.8,97.74,172.68,Severe
91.22,109.17,157.33,Severe
95.86,99.44,176.88,Very Poor
104.2,106.63,132.97,Severe
98.67,98.24,137.97,Severe
106.75,110.17,127.11,Very Poor
101.44,92.88,139.64,Severe
108.89,98.4,142.7,Severe
89.99,140.56,166.39,Poor
87.26,103.61,186.08,Poor
86.39,86.67,147.78,Moderate
79.08,81.68,137.18,Poor
76.39,60.49,112.45,Moderate
83.5,54.14,123.27,Moderate
99.48,62.09,93.11,Moderate
121.86,82.62,66.09,Moderate
122.33,71.51,36.29,Very Poor
157.33,83.89,36.22,Poor
135.81,76.33,31.8,Poor
123.59,54.51,41.87,Very Poor
143.98,35.11,58.5,Severe
118.19,24.48,54.58,Severe
116.84,14.9,60.87,Severe
92.57,11.32,25.09,Poor
99.3,14.79,29.4,Moderate
93.92,12,20.56,Moderate
89.73,20.62,18.8,Moderate
102.4,25.45,26.19,Poor
116.1,25.88,29.77,Poor
155.63,28.82,39.43,Very Poor
163.95,23.33,35.42,Severe
121.71,34.29,73.34,Poor
104.08,18.36,39.26,Moderate
97.02,17.47,52.32,Moderate
95.51,19.99,79.47,Moderate
98.1,20.11,69.13,Moderate
95.25,31.26,50.74,Poor
83.69,50.41,53.83,Very Poor
85.68,45.51,73.27,Poor
89.41,43.92,49.84,Very Poor
115.57,45.08,68.73,Severe
126.67,22.77,95.2,Very Poor
131.62,12.64,27.7,Poor
128.86,14.38,23.96,Moderate
128.99,15.13,35.78,Poor
138.47,20.79,38.98,Poor
110.41,15.34,45.83,Poor
109.44,16.88,38.11,Moderate
161.09,22.67,58.67,Poor
118.44,16.33,30.54,Moderate
93.4,14.14,46.78,Moderate
108.83,11.65,26.75,Moderate
109.98,14.37,45.44,Moderate
152.94,20.66,58.01,Poor
143.84,19.05,62.71,Very Poor
44.53,16.42,25.78,Moderate
90.4,16.01,19.5,Moderate
79.32,13.41,10.67,Moderate
219.84,15.61,36.88,Very Poor
106.43,25.39,71.69,Severe
79.23,22.26,46.67,Very Poor
82.86,15.65,44.86,Very Poor
123.03,25.32,84.52,Severe
121.82,23.56,50.3,Severe
88.47,16.11,34.63,Severe
66.54,18.02,35.39,Poor
73.99,21.98,40.13,Poor
92.88,26.88,100.04,Severe
109.84,50.06,83.08,Severe
125.19,54.23,56.67,Severe
97.67,38.28,36.8,Very Poor
106.14,45.94,31.18,Poor
127.97,59.9,48.18,Severe
137.39,59.03,59.11,Severe
121.52,55.49,51.41,Very Poor
127.71,53.47,47.32,Very Poor
160.18,54.77,55.99,Severe
124.4,40.74,27.16,Poor
116.45,47.28,31.84,Poor
145.12,55.78,48.28,Very Poor
164.2,56.27,52.9,Severe
182.12,45.43,40.9,Severe
116.51,57.55,54.6,Severe
136.02,67.15,57.08,Severe
124.36,63.11,66.39,Very Poor
147.78,50.12,57.29,Severe
163.52,54.08,64.71,Severe
217.94,80.38,118.91,Severe
164.24,70.75,72.14,Severe
133.31,52.78,52.84,Severe
97.03,52.87,42.9,Moderate
104.74,51.33,48.07,Poor
141.39,74.32,42.37,Poor
193.22,94.67,62.73,Severe
242.98,124.33,103.5,Severe
177.11,92.35,68.76,Severe
169.52,91.2,64.67,Severe
136.6,75.13,64.67,Severe
123.32,59.64,70.8,Severe
149.92,62.85,81.42,Severe
155.65,60.32,119.95,Severe
125.88,31.08,51.07,Poor
115.5,24.16,63.99,Poor
128.08,28.74,61.9,Very Poor
140.9,41.31,45.6,Very Poor
85.35,45.21,32.78,Very Poor
90.26,32.91,42.98,Moderate
94.36,17.52,26.68,Moderate
80.79,21.51,19.43,Moderate
114.05,31.18,40.38,Poor
97.7,24.99,27.3,Very Poor
111.46,35.3,49.34,Moderate
115.8,31.33,27.4,Poor
90.32,34.32,28.6,Poor
112.92,37.65,34.49,Very Poor
124.58,44.39,42.86,Severe
162.86,43.66,42.07,Severe
132.17,31.56,67.89,Poor
122.17,18.27,52.62,Moderate
112.32,31.4,34.25,Poor
98.52,25.2,44.87,Moderate
91.38,33.45,61.4,Moderate
91.12,26.61,34.72,Poor
37.12,18.52,16.19,Moderate
72.43,35.52,16.06,Moderate
75.48,26.98,22.76,Moderate
89.1,38.65,19.14,Moderate
98.96,22.08,32.01,Moderate
86.06,21.29,22.16,Moderate
88.12,24.24,18.54,Moderate
87.96,41.44,23.84,Moderate
84.83,39.88,27.53,Moderate
87.96,40.99,31.4,Moderate
95.3,29.6,22.2,Moderate
104.5,16.8,31.04,Moderate
90.07,15.65,30.8,Moderate
89.74,21.61,20.75,Moderate
78.56,28.65,32.01,Moderate
74.99,34.81,25.09,Satisfactory
72.83,27,21.57,Moderate
61.54,23.01,26.86,Satisfactory
72.09,25.9,21.85,Satisfactory
64.81,17.18,23.5,Satisfactory
81.47,26.76,22.03,Satisfactory
76.25,25.97,18.03,Satisfactory
107.31,22.57,36.24,Satisfactory
65.12,13.93,21,Satisfactory
77.98,15.77,25.22,Satisfactory
73.99,16.32,19.16,Satisfactory
94.34,17.95,15.83,Moderate
81.09,16.17,32.39,Moderate
82.36,16.13,20.59,Moderate
70.48,13.88,16.51,Satisfactory
73.35,13.82,10.58,Moderate
81.16,19.95,29.73,Moderate
87.41,23.58,42.86,Moderate
76.73,24.82,32.97,Moderate
74.38,17.05,37.7,Moderate
89.91,13.32,26.36,Moderate
63.23,15.16,25.87,Moderate
62.1,16.38,22.71,Moderate
69.88,15.87,20.04,Moderate
134.83,29.05,2.42,Moderate
84.25,37.3,21.29,Moderate
88.9,33.6,14.73,Satisfactory
65.77,39.76,14.4,Satisfactory
69.5,34.11,13.05,Satisfactory
70.97,28.47,11.6,Satisfactory
81.73,25.68,12.69,Satisfactory
94.06,20.92,16.22,Moderate
66.21,26.94,18.41,Satisfactory
93.89,22.4,16.27,Moderate
62.28,28.15,17.51,Satisfactory
87.14,27.53,20.82,Satisfactory
92.72,31.93,19.3,Satisfactory
94.09,24.73,11.26,Satisfactory
11.5,19.65,9.4,Satisfactory
135.16,33.84,9.9,Moderate
120.7,15.81,10.1,Moderate
138.12,12.44,11.45,Moderate
98.37,16.76,13.32,Satisfactory
88.99,15.67,13,Satisfactory
,25.92,11.99,Satisfactory
142.43,24.83,11.73,Satisfactory
150.65,30.78,10.41,Satisfactory
118.67,56.35,12.44,Satisfactory
,23.99,11.01,Satisfactory
127.98,25.15,12.1,Satisfactory
121.1,58.92,16.39,Satisfactory
,35.04,14.4,Moderate
38.66,1.27,4.22,Satisfactory
46.68,0.91,4.46,Satisfactory
50.83,1.07,4.53,Satisfactory
41.03,0.36,4.63,Satisfactory
35.04,2.32,4.71,Satisfactory
35.75,2.14,4.84,Good
41.51,1.48,5.04,Satisfactory
53.59,1.31,5.3,Satisfactory
44.02,0.83,5.32,Satisfactory
60.05,0.88,5.63,Satisfactory
40.33,0.13,5.41,Satisfactory
41.55,0.16,5.63,Satisfactory
56.65,0.14,6.17,Satisfactory
62.86,0.17,6.75,Satisfactory
62.7,0.13,6.8,Satisfactory
53.86,0.11,7.34,Satisfactory
60.03,0.35,7.69,Satisfactory
41.95,0.13,7.8,Satisfactory
48.07,0.24,7.67,Satisfactory
33.9,0.25,7.9,Satisfactory
49.19,0.26,8.11,Satisfactory
48.66,0.25,8.36,Satisfactory
39.84,0.21,8.25,Satisfactory
41.95,0.25,8.16,Good
33.51,0.08,8.79,Good
43.65,0.15,8.49,Good
42.17,0.3,8.78,Satisfactory
31.74,0.18,8.69,Good
45.79,0.31,7.81,Satisfactory
45.39,0.13,4.52,Satisfactory
35.53,0.17,4.77,Satisfactory
27.32,0.12,4.54,Good
33.24,0.39,5.3,Good
49.81,0.45,5.66,Satisfactory
48.87,0.51,5.71,Satisfactory
28.06,0.33,5.52,Good
19.85,0.36,5.43,Good
25.12,0.25,6.06,Good
14.73,0.11,6.4,Good
18.9,0.95,6.79,Good
20.94,0.75,6.62,Good
11.26,0.34,6.61,Good
14.56,0.26,6.96,Good
9.67,0.34,6.79,Good
5.83,0.2,7.47,Good
4.06,0.13,6.98,Good
9.88,0.27,7.21,Good
7.84,0.18,6.97,Good
6.78,0.17,7.23,Good
8.9,0.3,6.6,Good
12.97,0.35,6.47,Good
13.13,0.23,6.46,Good
9.88,0.08,6.42,Good
11.92,0.22,6.93,Good
14.63,0.25,7.6,Good
8.99,0.63,7.36,Good
6.85,0.18,8.04,Good
17.4,0.49,8.51,Good
19.14,0.34,8.6,Good
20.04,0.09,8.61,Good
31.71,0.69,8.87,Good
33.56,0.44,8.91,Good
28.88,0.6,8.41,Good
24.86,0.65,9.08,Good
19.67,0.35,9.06,Good
12.62,0.29,9.19,Good
18,0.12,9.84,Good
25.29,0.56,10.05,Good
24.52,0.48,9.84,Good
10.27,0.51,9.81,Good
14.44,0.34,10.1,Good
19.13,0.36,9.92,Good
21.52,0.27,10.88,Good
19.09,0.09,11.19,Good
14.84,0.28,11.14,Good
13.23,0.42,11.09,Good
4.32,0.62,11.13,Good
9.67,0.35,11.89,Good
7.84,0.47,11.24,Good
7.24,0.21,11.38,Good
7.45,0.08,11.58,Good
9.11,0.59,11.83,Good
8.56,0.21,12.13,Good
6.33,0.29,12.24,Good
4.57,0.22,12.61,Good
7.33,0.7,12.97,Good
6.19,0.15,12.82,Good
,0.09,12.16,Good
22.3,0.76,13,Good
13.04,0.13,13.48,Good
2.79,0.1,13.44,Good
6.11,0.31,13.53,
