iter	RMSE
0	2039908.954
1	2027705.045
2	2013779.177
3	2004591.536
4	1990813.268
5	1978309.783
6	1964764.075
7	1953580.192
8	1943109.296
9	1933691.26
10	1923308.166
11	1912604.76
12	1906069.391
13	1894388.863
14	1887178.242
15	1879691.131
16	1870398.693
17	1859413.842
18	1846328.746
19	1840346.328
20	1827412.448
21	1815400.481
22	1806530.782
23	1801707.227
24	1793224.213
25	1786985.427
26	1782760.768
27	1771198.386
28	1762595.664
29	1757568.896
30	1750569.205
31	1740936.631
32	1732652.161
33	1726750.624
34	1718902.001
35	1713729.748
36	1708381.418
37	1703508.307
38	1696091.064
39	1687271.072
40	1680333.213
41	1671833.618
42	1668593.464
43	1664009.146
44	1659882.915
45	1654313.677
46	1647788.504
47	1639759.672
48	1635058.602
49	1627529.461
50	1622751.758
51	1616292.347
52	1609881.308
53	1603354.593
54	1598415.695
55	1593731.912
56	1589300.014
57	1583440.2
58	1575807.847
59	1569397.821
60	1562168.928
61	1557200.583
62	1552358.98
63	1549482.835
64	1544430.253
65	1539442.745
66	1535207.299
67	1531822.78
68	1527196.472
69	1523327.588
70	1519786.818
71	1515262.635
72	1509595.896
73	1503887.67
74	1497330.554
75	1493476.239
76	1488700.892
77	1483736.925
78	1477604.174
79	1471281.291
80	1466670.119
81	1459291.244
82	1454749.502
83	1450531.783
84	1445785.423
85	1436497.614
86	1433266.477
87	1428888.769
88	1424873.201
89	1419468.557
90	1414392.918
91	1410220.723
92	1406961.645
93	1401550.592
94	1397704.112
95	1391528.775
96	1385255.682
97	1382023.031
98	1378069.346
99	1374229.157
100	1367971.68
101	1362882.462
102	1360174.815
103	1357402.102
104	1351588.336
105	1346765.13
106	1342394.511
107	1337137.41
108	1333288.521
109	1330499.22
110	1327262.046
111	1323626.394
112	1318645.066
113	1314645.965
114	1309736.859
115	1306265.508
116	1301126.767
117	1296732.629
118	1292051.392
119	1286638.753
120	1283654.779
121	1279172.856
122	1276868.834
123	1273614.873
124	1268930.787
125	1265341.341
126	1260263.462
127	1254429.266
128	1251254.674
129	1248633.714
130	1243243.129
131	1240062.638
132	1235468.478
133	1231674.293
134	1228257.279
135	1224298.57
136	1221435.147
137	1216659.343
138	1212519.339
139	1208857.955
140	1206372.066
141	1202643.659
142	1198249.519
143	1193889.826
144	1190194.775
145	1186745.114
146	1183393.514
147	1179887.853
148	1175253.75
149	1170623.234
150	1165332.48
151	1161408.116
152	1158394.263
153	1156603.319
154	1152081.895
155	1148333.31
156	1144920.308
157	1140970.892
158	1138087.163
159	1135146.796
160	1131127.997
161	1129164.125
162	1125720.545
163	1122545.917
164	1119577.794
165	1116209.515
166	1112183.642
167	1108409.367
168	1105268.039
169	1102569.696
170	1097438.298
171	1095214.926
172	1091318.838
173	1088201.116
174	1085572.435
175	1082414.954
176	1080228.352
177	1077404.981
178	1074147.503
179	1070782.906
180	1068019.808
181	1064614.761
182	1061171.319
183	1058437.348
184	1053876.203
185	1051224.749
186	1047213.74
187	1042774.063
188	1039495.492
189	1036192.339
190	1032986.095
191	1028261.141
192	1024817.319
193	1021470.816
194	1018285.423
195	1014704.069
196	1010417.494
197	1007381.171
198	1003283.513
199	1000331.338
200	995896.0805
201	991790.4131
202	987938.3809
203	983860.1567
204	980806.5657
205	976858.7765
206	973121.6233
207	969540.0578
208	966788.8722
209	964137.4421
210	960739.0634
211	958110.5322
212	955473.0391
213	951998.2014
214	948348.9663
215	945067.4853
216	942436.5488
217	939818.9265
218	937380.9711
219	933990.2133
220	931773.4136
221	928511.1307
222	926031.7194
223	923626.1274
224	921264.0582
225	917763.9939
226	915351.5801
227	913003.3994
228	909687.0494
229	907448.3441
230	905155.9589
231	902851.2792
232	900584.3036
233	898366.1009
234	896067.4497
235	893877.1376
236	890771.9829
237	888625.0673
238	885434.2625
239	883354.5008
240	881278.5535
241	879168.7096
242	877068.1946
243	874980.1257
244	872936.4749
245	870714.9305
246	868716.2378
247	866767.1465
248	863663.6413
249	861721.8194
250	860024.3342
251	857154.5143
252	854523.8374
253	851489.478
254	849835.4711
255	847104.9377
256	844198.3294
257	842288.5695
258	839916.2655
259	838068.3283
260	836253.2674
261	833736.5745
262	832011.9759
263	830542.7093
264	828180.9729
265	825417.6441
266	823716.4878
267	821229.6809
268	819005.439
269	817244.4171
270	815082.5769
271	813003.535
272	811059.5423
273	809304.3041
274	807844.0733
275	805253.3873
276	803613.5115
277	801340.8767
278	799680.213
279	798181.674
280	796611.8735
281	795059.7631
282	792528.048
283	790857.1871
284	789211.4731
285	787867.3567
286	785424.854
287	783526.4785
288	781620.6772
289	779541.2298
290	777691.9497
291	776069.0278
292	773734.4458
293	771421.2919
294	769647.852
295	767886.4536
296	765813.373
297	764341.53
298	762647.7101
299	760427.7225
300	758768.5345
301	757132.834
