city,year,population
Agartala,1991,157358
Agartala,2001,271881
Agartala,2011,399688
Agartala,2022,595210
Agra,1991,948063
Agra,2001,1275134
Agra,2011,1585704
Agra,2022,2261561
Ahmedabad,1991,3312216
Ahmedabad,2001,4470006
Ahmedabad,2011,5577940
Ahmedabad,2022,8253226
Aizwal,1991,235879
Aizwal,2001,228280
Aizwal,2011,291822
Aizwal,2022,378336
Ajmer,1991,402700
Ajmer,2001,485575
Ajmer,2011,542580
Ajmer,2022,621505
Allahabad,1991,845000
Allahabad,2001,975393
Allahabad,2011,1112544
Allahabad,2022,1415000
Amritsar,1991,708835
Amritsar,2001,978801
Amritsar,2011,1132383
Amritsar,2022,1400311
Andaman and Nicobar,1991,280661
Andaman and Nicobar,2001,356152
Andaman and Nicobar,2011,380581
Andaman and Nicobar,2022,456788
Asansol,1991,763939
Asansol,2001,475439
Asansol,2011,564491
Asansol,2022,473747
Bangalore,1991,4130288
Bangalore,2001,5682293
Bangalore,2011,8443675
Bangalore,2022,12764935
Begusarai,1991,85000
Begusarai,2001,93378
Begusarai,2011,251136
Begusarai,2022,494581
Bhopal,1991,1062771
Bhopal,2001,1458416
Bhopal,2011,1798218
Bhopal,2022,2446882
Bhubaneswar,1991,411542
Bhubaneswar,2001,648032
Bhubaneswar,2011,837737
Bhubaneswar,2022,1194431
Bilaspur,1991,233000
Bilaspur,2001,274917
Bilaspur,2011,330106
Bilaspur,2022,616394
Bokaro,1991,402000
Bokaro,2001,393805
Bokaro,2011,413934
Bokaro,2022,642145
Buxar,1991,55753
Buxar,2001,83168
Buxar,2011,102591
Buxar,2022,202000
Chandigarh,1991,642015
Chandigarh,2001,808515
Chandigarh,2011,960787
Chandigarh,2022,1169244
Chennai,1991,3841396
Chennai,2001,4343645
Chennai,2011,4646732
Chennai,2022,11235018
Coimbatore,1991,1100746
Coimbatore,2001,930882
Coimbatore,2011,1050721
Coimbatore,2022,2860445
Cuttack,1991,412000
Cuttack,2001,534654
Cuttack,2011,606007
Cuttack,2022,751859
Dadar-Nagar Haveli,1991,132477
Dadar-Nagar Haveli,2001,220490
Dadar-Nagar Haveli,2011,343709
Dadar-Nagar Haveli,2022,506900
Daman & diu,1991,101586
Daman & diu,2001,158000
Daman & diu,2011,243247
Daman & diu,2022,361000
Darbhanga,1991,2509083
Darbhanga,2001,267348
Darbhanga,2011,294116
Darbhanga,2022,356165
Dehradun,1991,373000
Dehradun,2001,426674
Dehradun,2011,578420
Dehradun,2022,943186
Delhi,1991,9420644
Delhi,2001,9879172
Delhi,2011,11034555
Delhi,2022,31181377
Dhanbad,1991,815005
Dhanbad,2001,1031523
Dhanbad,2011,1162472
Dhanbad,2022,1348238
Dibugarh,1991,1103466
Dibugarh,2001,1185072
Dibugarh,2011,1326335
Dibugarh,2022,1460000
Durgapur,1991,427937
Durgapur,2001,493405
Durgapur,2011,566937
Durgapur,2022,686568
Faridabad,1991,617717
Faridabad,2001,1055938
Faridabad,2011,1414050
Faridabad,2022,1445749
Gandhinagar,1991,123359
Gandhinagar,2001,195985
Gandhinagar,2011,206167
Gandhinagar,2022,444000
Gaya,1991,266521
Gaya,2001,385432
Gaya,2011,463454
Gaya,2022,575652
Ghaziabad,1991,511759
Ghaziabad,2001,968256
Ghaziabad,2011,1648643
Ghaziabad,2022,2143000
Gorakhpur,1991,593355
Gorakhpur,2001,622701
Gorakhpur,2011,671048
Gorakhpur,2022,766646
Gurgaon,1991,606791
Gurgaon,2001,473542
Gurgaon,2011,876824
Gurgaon,2022,1046000
Guwahati,1991,591000
Guwahati,2001,809895
Guwahati,2011,963429
Guwahati,2022,1135064
Hajipur,1991,87687
Hajipur,2001,119412
Hajipur,2011,147126
Hajipur,2022,191000
Haldia,1991,100000
Haldia,2001,170673
Haldia,2011,200827
Haldia,2022,261000
Hissar,1991,840000
Hissar,2001,537000
Hissar,2011,744000
Hissar,2022,359000
Howrah,1991,1000500
Howrah,2001,1007532
Howrah,2011,1077075
Howrah,2022,1935600
Hydrabad,1991,4344437
Hydrabad,2001,5496960
Hydrabad,2011,6993262
Hydrabad,2022,10268653
Imphal,1991,202134
Imphal,2001,221492
Imphal,2011,264986
Imphal,2022,593525
Indore,1991,1109056
Indore,2001,1503237
Indore,2011,1964086
Indore,2022,3113445
Jabalpur,1991,888916
Jabalpur,2001,951472
Jabalpur,2011,1055525
Jabalpur,2022,1471644
Jaipur,1991,1518235
Jaipur,2001,2322575
Jaipur,2011,3046163
Jaipur,2022,4007505
Jammu,1991,456789
Jammu,2001,369959
Jammu,2011,503690
Jammu,2022,708612
Jamshedpur,1991,837000
Jamshedpur,2001,573096
Jamshedpur,2011,631364
Jamshedpur,2022,929621
Jhansi,1991,360000
Jhansi,2001,383644
Jhansi,2011,507293
Jhansi,2022,653878
Lakshadweep,1991,51707
Lakshadweep,2001,60650
Lakshadweep,2011,64473
Lakshadweep,2022,67900
Jodhpur,1991,666279
Jodhpur,2001,856525
Jodhpur,2011,1033756
Jodhpur,2022,1509826
Kanpur,1991,2257200
Kanpur,2001,2551337
Kanpur,2011,2765348
Kanpur,2022,3153425
Nagpur,1991,3287000
Nagpur,2001,4067637
Nagpur,2011,4653171
Nagpur,2022,2940487
Kochi,1991,240605
Kochi,2001,596473
Kochi,2011,601574
Kochi,2022,903029
Kohima,1991,154145
Kohima,2001,220168
Kohima,2011,267998
Kohima,2022,128000
Kolkata,1991,5021918
Kolkata,2001,4580546
